Title,URL,Deadline,Opportunity Status
Evaluation of five IDRC programs,https://idrc-crdi.ca/en/funding/evaluation-five-idrc-programs,"November 12, 2024",Closed
Evaluation of the Climate Adaptation and Resilience (CLARE) program,https://idrc-crdi.ca/en/funding/evaluation-climate-adaptation-and-resilience-clare-program,"October 9, 2024",Closed
Justice for Women and Indigenous Peoples through Climate-resilient Forests and Food Systems – John G. Bene Fellowship 2024,https://idrc-crdi.ca/en/funding/john-bene-2024-justice-women-and-indigenous-peoples-through-climate-resilient-forests-and-food-systems,"October 11, 2024",Closed
Evaluation of Global Partnership for Education Knowledge and Innovation Exchange,https://idrc-crdi.ca/en/funding/evaluation-global-partnership-education-knowledge-and-innovation-exchange,"July 9, 2024",Closed
IDRC Research Awards 2025,https://idrc-crdi.ca/en/funding/idrc-research-awards-2025,"September 22, 2024",Closed
Call for expressions of interest:  Lead of a research consortium promoting socially inclusive climate adaptation and resilience — CLARE in ASEAN,https://idrc-crdi.ca/en/funding/call-expressions-interest-lead-research-consortium-promoting-socially-inclusive-climate,"July 9, 2024",Closed
KIX call for proposals: GPE KIX regional observatories on education system resilience,https://idrc-crdi.ca/en/funding/kix-call-proposals-gpe-kix-regional-observatories-education-system-resilience,"July 11, 2024",Closed
Call for letters of interest: Addressing neglected areas of sexual and reproductive health and rights in sub-Saharan Africa (ANSRHRA),https://idrc-crdi.ca/en/funding/call-letters-interest-addressing-neglected-areas-sexual-and-reproductive-health-and-rights,"May 13, 2024",Closed
"KIX call for concept notes: Knowledge and innovation for education in emergencies and fragile, conflict and violence-affected contexts",https://idrc-crdi.ca/en/funding/kix-call-concept-notes-knowledge-and-innovation-education-emergencies-and-fragile-conflict,"April 25, 2024",Closed
Call for expressions of interest: Regional hubs for climate change and health,https://idrc-crdi.ca/en/funding/call-expressions-interest-regional-hubs-climate-change-and-health,"April 5, 2024",Closed
Global call for research concept notes: climate-smart livestock systems,https://idrc-crdi.ca/en/funding/global-call-research-concept-notes-climate-smart-livestock-systems,"January 25, 2024",Closed
"KIX call for proposals: Knowledge and innovation for supporting teacher professional development, agency, and well-being",https://idrc-crdi.ca/en/funding/kix-call-proposals-knowledge-and-innovation-supporting-teacher-professional-development,"January 15, 2024",Closed
KIX call for proposals: Knowledge and innovation for inclusive early learning and school readiness,https://idrc-crdi.ca/en/funding/kix-call-proposals-knowledge-and-innovation-inclusive-early-learning-and-school-readiness,"January 15, 2024",Closed
Global Call for Research Proposals: Innovative Veterinary Solutions for Antimicrobial Resistance (InnoVet-AMR) 2 in Food-Producing animals: Ruminants and Aquaculture,https://idrc-crdi.ca/en/funding/global-call-research-proposals-innovative-veterinary-solutions-antimicrobial-resistance,"October 30, 2023",Closed
Justice for women and Indigenous peoples through climate-resilient forests and food systems – John G. Bene Fellowship 2023,https://idrc-crdi.ca/en/funding/justice-women-and-indigenous-peoples-through-climate-resilient-forests-and-food-systems,"September 28, 2023",Closed
KIX call for proposals: Knowledge and innovation for achieving gender equality and social inclusion at school,https://idrc-crdi.ca/en/funding/kix-call-proposals-knowledge-and-innovation-achieving-gender-equality-and-social-inclusion,"August 28, 2023",Closed
Call for concept notes: Scaling Care Innovations in Africa,https://idrc-crdi.ca/en/funding/call-concept-notes-scaling-care-innovations-africa,"June 23, 2023",Closed
Call for proposals to strengthen education data systems and data use,https://idrc-crdi.ca/en/funding/call-proposals-strengthen-education-data-systems-and-data-use,"July 17, 2023",Closed
Call for proposals: Managing organizations for regional research networks to foster an inclusive and sustainable future of work,https://idrc-crdi.ca/en/funding/call-proposals-managing-organizations-regional-research-networks-foster-inclusive-and,"June 26, 2023",Closed
Call for Proposals: Evaluation of the KIX Applied Research Portfolio,https://idrc-crdi.ca/en/funding/call-proposals-evaluation-kix-applied-research-portfolio,"April 12, 2023",Closed
